statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-17;Papier, Pappe und Waren daraus;123;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-05;Kohle;143,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-19;Kokereierzeugnisse und Mineralölerzeugnisse;122,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-12;Tabakerzeugnisse;117,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-25;Metallerzeugnisse;119,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-38;Samml.,Behand.,Beseit.v.Abfällen,Rückgew.v.Wertst.;-;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-06;Erdöl und Erdgas;138,2;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-24;Metalle;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-19;Kokereierzeugnisse und Mineralölerzeugnisse;122,3;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-11;Getränke;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
